num,time_SR,time_NLU,time_CATA
1,869,58,0
2,1423,456,0
3,1552,381,0
4,968,50,0
5,1651,426,0
6,944,68,0
7,943,49,0
8,1450,328,0
9,1560,84,0
10,864,351,0
11,489,131,0
12,927,234,0
13,857,349,0
14,738,303,0
15,1202,313,0
16,936,58,0
17,989,312,0
18,1195,196,0
19,1573,212,0
20,1142,254,0
21,1595,365,0
22,1282,190,0
23,697,643,0
24,319,85,0
25,1271,568,0
26,1118,66,0
27,712,150,0
28,896,829,0
29,1259,148,0
30,1379,385,0
31,942,407,0
32,932,234,0
33,625,239,0
34,925,524,0
35,747,398,0
36,824,109,0
37,1214,228,0
38,736,601,0
39,737,116,0
40,1041,248,0
41,1882,226,0
42,1595,254,0
43,1584,238,0
44,1421,65,0
45,978,46,0
46,1673,88,0
47,965,55,0
48,1152,181,0
49,1298,91,0
50,1466,113,0
51,1027,103,0
52,1401,111,0
53,927,102,0
54,1046,80,0
55,1498,83,0
56,723,100,0
57,778,75,0
58,241,89,0
59,974,109,0
60,733,93,0
61,695,108,0
62,824,94,0
63,955,55,0
64,633,66,0
65,876,509,0
66,984,49,0
67,1422,32,0
68,916,57,0
69,699,111,0
70,778,62,0
71,867,70,0
72,626,71,0
73,910,75,0
74,625,255,0
75,898,74,0
76,879,101,0
77,608,79,0
78,878,451,0
79,554,69,0
80,401,78,0
81,857,63,0
82,1484,28,0
83,700,418,0
84,625,52,0
85,1056,42,0
86,912,74,0
87,1218,33,0
88,1350,32,0
89,750,49,0
90,747,45,0
91,1267,453,0
92,1461,400,0
93,946,48,0
94,1605,430,0
95,880,86,0
96,953,61,0
97,1421,301,0
98,1377,93,0
99,1440,296,0
100,407,119,0
101,865,235,0
102,826,326,0
103,820,306,0
104,1204,340,0
105,999,54,0
106,1015,278,0
107,1184,202,0
108,1655,175,0
109,1163,245,0
110,1598,307,0
111,1287,160,0
112,703,617,0
113,412,92,0
114,1372,602,0
115,1070,70,0
116,721,170,0
117,958,799,0
118,1212,139,0
119,1421,391,0
120,713,392,0
121,998,223,0
122,777,244,0
123,862,483,0
124,698,388,0
125,700,112,0
126,1247,242,0
127,617,596,0
128,802,90,0
129,1069,235,0
130,1867,201,0
131,1519,248,0
132,1540,274,0
133,1370,67,0
134,986,59,0
135,1708,64,0
136,934,53,0
137,1117,217,0
138,1212,107,0
139,1458,105,0
140,1074,94,0
141,1450,112,0
142,865,86,0
143,1029,83,0
144,1476,83,0
145,477,101,0
146,792,77,0
147,342,89,0
148,912,112,0
149,759,90,0
150,700,83,0
151,803,98,0
152,954,58,0
153,647,64,0
154,857,569,0
155,924,50,0
156,1311,32,0
157,914,54,0
158,665,75,0
159,737,63,0
160,823,68,0
161,574,77,0
162,938,68,0
163,716,249,0
164,882,82,0
165,806,77,0
166,599,81,0
167,954,449,0
168,539,67,0
169,381,77,0
170,892,62,0
171,1459,28,0
172,726,404,0
173,598,42,0
174,1030,43,0
175,942,72,0
176,1197,33,0
177,1384,31,0
178,783,50,0
